Project, OldVersion, NewVersion
alibaba_jstorm,df8d544b93918cdc0e0d229f56a8652e937bf7c5,afb0d26bef710a6a34ea2f67d5e1a4ddb5c34c93
urbanairship_datacube,75838bf9b312c2ea7c674c92f2af6e69d99d50a6,0f9edfb36ea5d109c77a14036d58c21a16809956
liquibase_liquibase,847d3c4ff417e5c3e0f709106386d554559cf897,deff88db38cd7a9ae8803077edc9f339aa4c949c
xetorthio_jedis,b6a3c6b84c7c2f65875c52329e5c1e09add25689,28e091abd22c4fd873287e54f41667591b2fbd97
apache_mina,5227b92655c845cedff5c279eeadb4eadeaf3641,06a2cb9db8d768fdca7ca1174c9800adb9d5229c
apache_jackrabbit-filevault,365adafea9e05277a8f8e531035960baecad928b,28feed3dfbcab7c29ee6cc79888a9b894e9be5e0
apache_calcite,3e50232b681e8dadb921580ee6f3e0376dd0f664,a4ccb80a91b4592f902e3f34355aa391d6cb4066
relayrides_pushy,31b3c8f0951b78c7fe87bab521bfa62ba290dbf6,dd919255533d8c634a85b8b4e2483cab44a2992a
apache_jclouds,97c160879ebabb30044e08c08333560c15ad7db4,28ed955183f7072d96bb68888dbf22ac036556b6
stripe_stripe-java,2bae0f54b7598e7ffed0baba85d4b3d86bab7bd0,332038f930ee74cdb6bb66879bc603ae1753a7d1
Codecademy_EventHub,e0f33dc554fa1f2493982bdf3bc5d7b4825ff9c8,e0f33dc554fa1f2493982bdf3bc5d7b4825ff9c8
stratosphere_stratosphere,33f06294781eca93b8522360ec8c6f514c01baee,c543a08f9676c5b2b0a7088123bd6e795a8ae0c8
apache_jackrabbit,fd1b52711b4628b7aff37dd566558f0dff632e23,b965bdb24c8e1b2484d82f57e21e2cd57ff50189
izpack_izpack,f1a79b4c682622582bf7d2beb7d00e8556954623,a808225e1e732a2139c213de485dede9d1899819
kite-sdk_kite,260d835ebbd964c3f7594416e84c00547fac609e,6a4ce72dabb720950c6e24c8d096b33b6ef59630
torodb_torodb,f9682f914e94f71c63078dca59060904a3c4754a,00cfd3986750635d601cf577a5520067ee9f07cc
hazelcast_hazelcast,df920f2c161d742f8586431b9e229e5258fdfee7,1c9a83a316dcb5c1d304c9c600627df5dc77c3f0
apache_ignite,6c837c0783f04874157ac414f7161273c8c4d9f8,77793f5e23d2301bb2d623de5bae1e48dbee772b
decebals_pf4j,8ee33ea45548455f2f3242cd51779cb4f7d5839d,e42154f15b1063de73e0e7cfc61605a555ab8b62
apache_empire-db,7261b42dcdefd7c4909c18e8591416b6b8ce6ab8,c5e6a060e4e8cca8a7612dbf7116f88ed3a9d20a
Activiti_Activiti,155b5085260a5ef84a87b7e522e0a3a6b82d5eac,50bf8bfd36a24ca4e0b92937db61077d6d8ec3f4
qos-ch_slf4j,0c189f9882f3167e2dadd9f2eeb115caa2ad9629,1c6cbf05e6a99a8805397d1c06008021fdc96527
jcodec_jcodec,9494e222b42b95c987e9f0538701d7c6ba9ed0ea,585cb7894339e36c53017995d15c588caf797f0f
antlr_antlr4,3fe8bf3a10e639275225d2f46e0c9d28981228ba,d430f495eafa7b0c727ac7d8bfe4e5421660311b
apache_incubator-optiq-linq4j,9c404c6655575ac1cfb119ddbf1caa4a3ca95e9e,6cac5e4fedb90cd98198f365665fcb9342f49c21
xetorthio_johm,b63f97ab381c94eb9b7f4a616cf0ee0032664ec9,b63f97ab381c94eb9b7f4a616cf0ee0032664ec9
jenkinsci_gerrit-trigger-plugin,f5d0156a1a33728a980f6c493e345b6205e1ce77,395a89f20c69c0f31b8ba190be5cfe6f80597416
apache_webservices-xmlschema,cef1b7b0c0f4c81dc6bdc4b65b9fffcdd4da44c6,6b6adc3c07d933c36c216c99f9dac4ff71875eec
tananaev_traccar,6883ecf8462e26f63d2709426c2cacf5dd318c49,9c4f58c2bac0b2cad025f3ac3e79e88511a0b857
cucumber_cucumber-jvm,7db983e48776ee649dd450713d51e4fa3e1ce094,1327806529619186087054ddef03ace2a011f1f4
